,Attack,Adv_param,VGG Acc. from ResNet Att.,VGG BAARD Acc.,ResNet Acc. from VGG Att.,ResNet BAARD Acc.
0,apgd,0.031,0.855,0.867,0.302,0.345
1,apgd,0.3,0.075,0.362,0.0,0.609
2,apgd,0.6,0.026,0.935,0.016,1.0
3,apgd,1.0,0.03,1.0,0.051,1.0
4,apgd,1.5,0.021,1.0,0.066,1.0
