data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
mnist,dnn,apgd,0.063,0.8618,0.004816637831516898,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.1,0.5222,0.022476654555338087,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.3,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,0.6,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,1.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,1.5,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd,2.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,1.0,0.768,0.007874007874011824,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,1.5,0.39879999999999993,0.016604216332004356,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,2.0,0.16060000000000002,0.007334848328356906,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,3.0,0.08520000000000001,0.009859006035092988,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,4.0,0.0754,0.005504543577809155,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,apgd2,5.0,0.0606,0.01277888884058391,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,cw2,0.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,cw2,5.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,cw2,10.0,0.0,0.0,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,deepfool,0.0,0.0324,0.007162401831787994,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,0.063,0.8958,0.0054037024344425495,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,0.1,0.665,0.02113054660911537,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,0.3,0.0698,0.005630275304103698,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,0.6,0.0088,0.006906518659932802,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,1.0,0.007000000000000001,0.0032403703492039303,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,1.5,0.007000000000000001,0.0032403703492039303,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,fgsm,2.0,0.007000000000000001,0.0032403703492039303,1.0,0.0,0.006,0.0023452078799117153,1.0,0.0,0.0176,0.002880972058177587,1.0,0.0,0.027200000000000002,0.0032710854467592255
mnist,dnn,line,1.0,0.9736,0.006387487769068489,0.9878,0.006379655163094588,0.006,0.0023452078799117153,0.9898,0.005118593556827866,0.0176,0.002880972058177587,0.9944,0.0027928480087538554,0.027200000000000002,0.0032710854467592255
