data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
cifar10,resnet,apgd2,3.0,magnet,0.0,0.0,0.266,0.20815258826159236,0.002,0.0
cifar10,resnet,apgd2,3.0,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd2,4.0,baard,0.0,0.0,0.13679999999999998,0.03871304689636299,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,4.0,fs,0.0,0.0,0.9545999999999999,0.05819621980850643,0.0602,0.016961721610732797
cifar10,resnet,apgd2,4.0,lid,0.0,0.0,0.08059999999999999,0.18022707898648302,0.003,0.006708203932499369
cifar10,resnet,apgd2,4.0,magnet,0.0,0.0,0.2772,0.22818895678800938,0.002,0.0
cifar10,resnet,apgd2,4.0,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,apgd2,5.0,baard,0.0,0.0,0.13240000000000002,0.04228829625321882,0.058800000000000005,0.014342245291445828
cifar10,resnet,apgd2,5.0,fs,0.0,0.0,0.9612000000000002,0.04927169572888675,0.0602,0.016961721610732797
cifar10,resnet,apgd2,5.0,lid,0.0,0.0,0.10540000000000001,0.23568156482847785,0.0044,0.009838699100999077
cifar10,resnet,apgd2,5.0,magnet,0.0,0.0,0.28759999999999997,0.2357017182796935,0.002,0.0
cifar10,resnet,apgd2,5.0,rc,0.0,0.0,0.0,0.0,0.003,0.0012247448713915891
cifar10,resnet,cw2,0.0,baard,0.0,0.0,0.1458,0.030849635330097495,0.058800000000000005,0.014342245291445828
cifar10,resnet,cw2,0.0,fs,0.0,0.0,0.36100000000000004,0.10371595827065382,0.0602,0.016961721610732797
cifar10,resnet,cw2,0.0,lid,0.0,0.0,0.5933999999999999,0.1807852316977247,0.086,0.022945587811167532
cifar10,resnet,cw2,0.0,magnet,0.0,0.0,0.8455999999999999,0.022333830840229767,0.002,0.0
cifar10,resnet,cw2,0.0,rc,0.0,0.0,0.9260000000000002,0.016232683080747944,0.003,0.0012247448713915891
cifar10,resnet,cw2,5.0,baard,0.0,0.0,0.14620000000000002,0.030128060010561578,0.058800000000000005,0.014342245291445828
cifar10,resnet,cw2,5.0,fs,0.0,0.0,0.675,0.15868364755071646,0.0602,0.016961721610732797
cifar10,resnet,cw2,5.0,lid,0.0,0.0,0.1472,0.04634867851406338,0.08399999999999999,0.015636495771111886
cifar10,resnet,cw2,5.0,magnet,0.0,0.0,0.5476,0.19976811557403248,0.002,0.0
