data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
breastcancer,dnn,apgd,0.05,baard,0.7461997685672207,0.032467588422281285,0.8203472368328774,0.06367604598670218,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,0.05,lid,0.7461997685672207,0.032467588422281285,0.7645671155059962,0.04972844196618544,0.008205782312925168,0.00855057070373236
breastcancer,dnn,apgd,0.05,magnet,0.7461997685672207,0.032467588422281285,0.8740251770811417,0.030544765949567496,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,0.05,rc,0.7461997685672207,0.032467588422281285,0.7626959288870188,0.033425233491451545,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,0.1,baard,0.3546067396030578,0.04286718413374265,0.5916346693316502,0.10045529415220976,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,0.1,lid,0.3546067396030578,0.04286718413374265,0.39146898450101697,0.06857655707126968,0.016539115646258505,0.023885515574308708
breastcancer,dnn,apgd,0.1,magnet,0.3546067396030578,0.04286718413374265,0.7047895189003437,0.07619116247900612,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,0.1,rc,0.3546067396030578,0.04286718413374265,0.3834323935759871,0.03141855649489248,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,0.3,baard,0.004124149659863944,0.005647724637531306,0.9011773266007432,0.15919521724749286,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,0.3,lid,0.004124149659863944,0.005647724637531306,0.24346816046006028,0.05909142160949498,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,0.3,magnet,0.004124149659863944,0.005647724637531306,0.14704309558875098,0.10706234194712784,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,0.3,rc,0.004124149659863944,0.005647724637531306,0.004124149659863944,0.005647724637531306,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,0.6,baard,0.0,0.0,1.0,0.0,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,0.6,lid,0.0,0.0,0.9836524300441825,0.025605797368677363,0.0,0.0
breastcancer,dnn,apgd,0.6,magnet,0.0,0.0,0.9,0.21238221617547254,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,0.6,rc,0.0,0.0,0.0,0.0,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,1.0,baard,0.0,0.0,1.0,0.0,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,1.0,lid,0.0,0.0,1.0,0.0,0.0,0.0
breastcancer,dnn,apgd,1.0,magnet,0.0,0.0,1.0,0.0,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,1.0,rc,0.0,0.0,0.0,0.0,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,1.5,baard,0.0,0.0,1.0,0.0,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,1.5,lid,0.0,0.0,1.0,0.0,0.0,0.0
breastcancer,dnn,apgd,1.5,magnet,0.0,0.0,1.0,0.0,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,1.5,rc,0.0,0.0,0.0,0.0,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd,2.0,baard,0.0,0.0,1.0,0.0,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd,2.0,lid,0.0,0.0,1.0,0.0,0.0,0.0
breastcancer,dnn,apgd,2.0,magnet,0.0,0.0,1.0,0.0,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd,2.0,rc,0.0,0.0,0.0,0.0,0.002061855670103093,0.004610449438143896
breastcancer,dnn,apgd2,1.0,baard,0.020599270636089483,0.0071813941460848645,0.22707719685812466,0.05118943919413267,0.06813109264324285,0.04325280720791954
breastcancer,dnn,apgd2,1.0,lid,0.020599270636089483,0.0071813941460848645,0.15276009888491476,0.041399228027378776,0.012436005329967036,0.017126328199226784
breastcancer,dnn,apgd2,1.0,magnet,0.020599270636089483,0.0071813941460848645,0.11762045024195245,0.025319818458939162,0.004166666666666666,0.009316949906249122
breastcancer,dnn,apgd2,1.0,rc,0.020599270636089483,0.0071813941460848645,0.02470194263272319,0.005396055555280662,0.002061855670103093,0.004610449438143896
