data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
breastcancer,svm,bim,0.05,baard,0.7600110779526135,0.031201394422003297,0.8142887502260807,0.040661280862766574,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,0.05,magnet,0.7600110779526135,0.031201394422003297,0.8579985078676071,0.006695990003432448,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,0.05,rc,0.7600110779526135,0.031201394422003297,0.757840929643697,0.027746427866535698,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,0.1,baard,0.35084870681859287,0.028968052409148622,0.5721305841924399,0.06581284802851135,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,0.1,magnet,0.35084870681859287,0.028968052409148622,0.7182110236932538,0.026835650350362165,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,0.1,rc,0.35084870681859287,0.028968052409148622,0.35299828178694154,0.049702249331840545,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,0.3,baard,0.004210526315789441,0.005765500605317493,0.9438573883161512,0.09335032902156457,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,0.3,magnet,0.004210526315789441,0.005765500605317493,0.22892724724181585,0.2147242736230169,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,0.3,rc,0.004210526315789441,0.005765500605317493,0.004210526315789441,0.005765500605317493,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,0.6,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,0.6,magnet,0.0,0.0,0.9484536082474226,0.1152612359535974,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,0.6,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,1.0,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,1.0,magnet,0.0,0.0,1.0,0.0,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,1.0,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,1.5,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,1.5,magnet,0.0,0.0,1.0,0.0,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,1.5,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,bim,2.0,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,bim,2.0,magnet,0.0,0.0,1.0,0.0,0.00842105263157892,0.011531001210635038
breastcancer,svm,bim,2.0,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,boundary,0.0,baard,0.10447458853318858,0.06242757338480002,0.624542412732863,0.0479247625269105,0.06065925122083552,0.040790256715325164
breastcancer,svm,boundary,0.0,magnet,0.10447458853318858,0.06242757338480002,0.8706086091517452,0.015353844972325148,0.00842105263157892,0.011531001210635038
breastcancer,svm,boundary,0.0,rc,0.10447458853318858,0.06242757338480002,0.540768674262977,0.1475797631991684,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,0.05,baard,0.7600110779526135,0.031201394422003297,0.8142887502260807,0.040661280862766574,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,0.05,magnet,0.7600110779526135,0.031201394422003297,0.8579985078676071,0.006695990003432448,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,0.05,rc,0.7600110779526135,0.031201394422003297,0.7599027853138001,0.029500334114797206,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,0.1,baard,0.35084870681859287,0.028968052409148622,0.5721305841924399,0.06581284802851135,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,0.1,magnet,0.35084870681859287,0.028968052409148622,0.7182110236932538,0.026835650350362165,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,0.1,rc,0.35084870681859287,0.028968052409148622,0.3570566558147947,0.04558754268200611,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,0.3,baard,0.004210526315789441,0.005765500605317493,0.9438573883161512,0.09335032902156457,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,0.3,magnet,0.004210526315789441,0.005765500605317493,0.22892724724181585,0.2147242736230169,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,0.3,rc,0.004210526315789441,0.005765500605317493,0.004210526315789441,0.005765500605317493,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,0.6,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,0.6,magnet,0.0,0.0,0.9484536082474226,0.1152612359535974,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,0.6,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,1.0,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,1.0,magnet,0.0,0.0,1.0,0.0,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,1.0,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
breastcancer,svm,fgsm,1.5,baard,0.0,0.0,1.0,0.0,0.06065925122083552,0.040790256715325164
breastcancer,svm,fgsm,1.5,magnet,0.0,0.0,1.0,0.0,0.00842105263157892,0.011531001210635038
breastcancer,svm,fgsm,1.5,rc,0.0,0.0,0.0,0.0,0.00622852233676974,0.00930505971754056
