data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
breastcancer,tree,boundary,0,baard,0.0,0.0,0.969582252716895,0.028723710672197526,0.07434315334034827,0.05190265791271156
breastcancer,tree,boundary,0,magnet,0.0,0.0,0.9537752336490064,0.023857652704387357,0.01954389696325176,0.022061022929091796
breastcancer,tree,boundary,0,rc,0.0,0.0,0.947256752130525,0.019332340567328705,0.013336663336663302,0.012178494169797487
breastcancer,tree,tree,0,baard,0.0,0.0,0.9520953917517732,0.03184084175993865,0.07434315334034827,0.05190265791271156
breastcancer,tree,tree,0,magnet,0.0,0.0,0.9406085382593098,0.021477178913612213,0.01954389696325176,0.022061022929091796
breastcancer,tree,tree,0,rc,0.0,0.0,0.767301550716698,0.18070935394881427,0.013336663336663302,0.012178494169797487
