data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
banknote,svm,bim,0.05,baard,0.8314756671899529,0.028532209095666543,0.9550758765044479,0.016651277246413656,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.05,magnet,0.8314756671899529,0.028532209095666543,0.6230873888016746,0.06219014933715881,0.0,0.0
banknote,svm,bim,0.05,rc,0.8314756671899529,0.028532209095666543,0.8314756671899529,0.028532209095666543,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,0.1,baard,0.15121925693354263,0.025827645609739866,0.6782888540031397,0.03944414893033465,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.1,magnet,0.15121925693354263,0.025827645609739866,0.5760701203558346,0.06704262885176146,0.0,0.0
banknote,svm,bim,0.1,rc,0.15121925693354263,0.025827645609739866,0.16145473574044997,0.04007917154858166,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,0.3,baard,0.0,0.0,0.9591313448456305,0.015768367067155915,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.3,magnet,0.0,0.0,0.3850497121925692,0.07411740584231648,0.0,0.0
banknote,svm,bim,0.3,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,0.6,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,0.6,magnet,0.0,0.0,0.7386080586080587,0.1314337606438217,0.0,0.0
banknote,svm,bim,0.6,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,1.0,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,1.0,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,bim,1.0,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,1.5,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,1.5,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,bim,1.5,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,bim,2.0,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,bim,2.0,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,bim,2.0,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,boundary,0.0,baard,0.0,0.0,0.9213343799058084,0.01607078403470421,0.011240188383045458,0.005603428100949069
banknote,svm,boundary,0.0,magnet,0.0,0.0,0.6353689167974882,0.05213303780719865,0.0,0.0
banknote,svm,boundary,0.0,rc,0.0,0.0,0.5536473050758766,0.011855878036937887,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,0.05,baard,0.8314756671899529,0.028532209095666543,0.9550758765044479,0.016651277246413656,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.05,magnet,0.8314756671899529,0.028532209095666543,0.6230873888016746,0.06219014933715881,0.0,0.0
banknote,svm,fgsm,0.05,rc,0.8314756671899529,0.028532209095666543,0.8283935112506541,0.026432782741680046,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,0.1,baard,0.15121925693354263,0.025827645609739866,0.6782888540031397,0.03944414893033465,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.1,magnet,0.15121925693354263,0.025827645609739866,0.5760701203558346,0.06704262885176146,0.0,0.0
banknote,svm,fgsm,0.1,rc,0.15121925693354263,0.025827645609739866,0.1655468341182627,0.042354693193435815,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,0.3,baard,0.0,0.0,0.9591313448456305,0.015768367067155915,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.3,magnet,0.0,0.0,0.3850497121925692,0.07411740584231648,0.0,0.0
banknote,svm,fgsm,0.3,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,0.6,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,0.6,magnet,0.0,0.0,0.7386080586080587,0.1314337606438217,0.0,0.0
banknote,svm,fgsm,0.6,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,1.0,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,1.0,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,fgsm,1.0,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,1.5,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,1.5,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,fgsm,1.5,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
banknote,svm,fgsm,2.0,baard,0.0,0.0,1.0,0.0,0.011240188383045458,0.005603428100949069
banknote,svm,fgsm,2.0,magnet,0.0,0.0,1.0,0.0,0.0,0.0
banknote,svm,fgsm,2.0,rc,0.0,0.0,0.0,0.0,0.0030612244897959,0.0027945028444140963
