data,model,attack,adv_param,acc_no_def_mean,acc_no_def_std,acc_on_adv_1_mean,acc_on_adv_1_std,fpr_1_mean,fpr_1_std,acc_on_adv_2_mean,acc_on_adv_2_std,fpr_2_mean,fpr_2_std,acc_on_adv_3_mean,acc_on_adv_3_std,fpr_3_mean,fpr_3_std
banknote,svm,bim,0.05,0.8192307692307692,0.035307209606516766,0.8376085818942961,0.03362368888816256,0.0030612244897959178,0.0045634040357138556,0.9234065934065935,0.017972259925392062,0.008168498168498167,0.0068421901744057,0.9540554683411827,0.016492183728817517,0.011240188383045528,0.005603428100949101
banknote,svm,bim,0.1,0.15428048142333856,0.02391306174791733,0.3002721088435374,0.05248102023881632,0.0030612244897959178,0.0045634040357138556,0.6547933019361591,0.05253300745529583,0.008168498168498167,0.0068421901744057,0.6864521193092621,0.037070012209657485,0.011240188383045528,0.005603428100949101
banknote,svm,bim,0.3,0.0,0.0,0.28979591836734697,0.2651441813453411,0.0030612244897959178,0.0045634040357138556,0.954029304029304,0.013523937732784538,0.008168498168498167,0.0068421901744057,0.954029304029304,0.013523937732784538,0.011240188383045528,0.005603428100949101
banknote,svm,bim,0.6,0.0,0.0,0.5807953950811094,0.4534401180491621,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,bim,1.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,bim,1.5,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,bim,2.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,boundary,0.0,0.0,0.0,0.20631083202511774,0.0965217483528394,0.0030612244897959178,0.0045634040357138556,0.6619099947671375,0.0799183057993477,0.008168498168498167,0.0068421901744057,0.9009262166405023,0.03809044699344526,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,0.05,0.8192307692307692,0.035307209606516766,0.8376085818942961,0.03362368888816256,0.0030612244897959178,0.0045634040357138556,0.9234065934065935,0.017972259925392062,0.008168498168498167,0.0068421901744057,0.9540554683411827,0.016492183728817517,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,0.1,0.15428048142333856,0.02391306174791733,0.3002721088435374,0.05248102023881632,0.0030612244897959178,0.0045634040357138556,0.6547933019361591,0.05253300745529583,0.008168498168498167,0.0068421901744057,0.6864521193092621,0.037070012209657485,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,0.3,0.0,0.0,0.28979591836734697,0.2651441813453411,0.0030612244897959178,0.0045634040357138556,0.954029304029304,0.013523937732784538,0.008168498168498167,0.0068421901744057,0.954029304029304,0.013523937732784538,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,0.6,0.0,0.0,0.5807953950811094,0.4534401180491621,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,1.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,1.5,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
banknote,svm,fgsm,2.0,0.0,0.0,0.6851282051282052,0.45666371527573896,0.0030612244897959178,0.0045634040357138556,1.0,0.0,0.008168498168498167,0.0068421901744057,1.0,0.0,0.011240188383045528,0.005603428100949101
