data,model,attack,adv_param,defence,acc_no_def_mean,acc_no_def_std,acc_on_adv_mean,acc_on_adv_std,fpr_mean,fpr_std
htru2,dnn,cw2,0.0,rc,0.0,0.0,0.6486,0.10454090108660816,0.0004,0.0005477225575051661
htru2,dnn,cw2,5.0,baard,0.0,0.0,0.9594000000000001,0.019256167843057507,0.0008,0.000447213595499958
htru2,dnn,cw2,5.0,lid,0.0,0.0,0.0698,0.03837577360783754,0.031000000000000007,0.01450861812854691
htru2,dnn,cw2,5.0,magnet,0.0,0.0,0.9879999999999999,0.0037416573867739217,0.0016,0.0026076809620810596
htru2,dnn,cw2,5.0,rc,0.0,0.0,0.0,0.0,0.0004,0.0005477225575051661
htru2,dnn,cw2,10.0,baard,0.3668,0.502311357625925,0.9725999999999999,0.016994116628998444,0.0008,0.000447213595499958
htru2,dnn,cw2,10.0,lid,0.3668,0.502311357625925,0.6158000000000001,0.3396832347938296,0.005200000000000001,0.0010954451150103322
htru2,dnn,cw2,10.0,magnet,0.3668,0.502311357625925,0.9918000000000001,0.006016643582596537,0.0016,0.0026076809620810596
htru2,dnn,cw2,10.0,rc,0.3668,0.502311357625925,0.36660000000000004,0.5020326682597458,0.0004,0.0005477225575051661
htru2,dnn,fgsm,0.05,baard,0.9122,0.002863564212655316,0.9480000000000001,0.022660538387249272,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.05,lid,0.9122,0.002863564212655316,0.9745999999999999,0.0042190046219458014,0.0498,0.014446452851824906
htru2,dnn,fgsm,0.05,magnet,0.9122,0.002863564212655316,0.9882,0.006379655163094628,0.0016,0.0026076809620810596
htru2,dnn,fgsm,0.05,rc,0.9122,0.002863564212655316,0.922,0.0009999999999999998,0.0006000000000000001,0.0008944271909999159
htru2,dnn,fgsm,0.1,baard,0.20180000000000003,0.02677125323924899,0.8068,0.18898465546175966,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.1,lid,0.20180000000000003,0.02677125323924899,0.6218,0.034317633951075364,0.038400000000000004,0.008384509526501834
htru2,dnn,fgsm,0.1,magnet,0.20180000000000003,0.02677125323924899,0.9894000000000001,0.011458621208504998,0.0016,0.0026076809620810596
htru2,dnn,fgsm,0.1,rc,0.20180000000000003,0.02677125323924899,0.22679999999999997,0.03956260860964556,0.0006000000000000001,0.0008944271909999159
htru2,dnn,fgsm,0.3,baard,0.0164,0.0034351128074635337,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.3,lid,0.0164,0.0034351128074635337,0.060399999999999995,0.026576305236055666,0.007000000000000001,0.0034641016151377548
htru2,dnn,fgsm,0.3,magnet,0.0164,0.0034351128074635337,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,fgsm,0.3,rc,0.0164,0.0034351128074635337,0.016800000000000002,0.00363318042491699,0.0006000000000000001,0.0008944271909999159
htru2,dnn,fgsm,0.6,baard,0.0002,0.00044721359549995795,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,0.6,lid,0.0002,0.00044721359549995795,0.13899999999999998,0.0827375368257963,0.0076,0.006693280212272603
htru2,dnn,fgsm,0.6,magnet,0.0002,0.00044721359549995795,1.0,0.0,0.0016,0.0026076809620810596
htru2,dnn,fgsm,0.6,rc,0.0002,0.00044721359549995795,0.0002,0.00044721359549995795,0.0006000000000000001,0.0008944271909999159
htru2,dnn,fgsm,1.0,baard,0.0,0.0,1.0,0.0,0.0008,0.000447213595499958
htru2,dnn,fgsm,1.0,lid,0.0,0.0,0.25339999999999996,0.10784386862497099,0.0058,0.0028635642126552704
