eps,acc_base,acc_on_adv,fpr
0.031,0.007,0.273,0.0
0.1,0.0,0.158,0.0
0.3,0.0,0.197,0.0
0.6,0.0,0.995,0.0
1.0,0.0,1.0,0.0
1.5,0.0,1.0,0.0
2.0,0.0,1.0,0.0
