eps,acc_base,acc_on_adv,fpr
1.0,0.015,1.0,0.039
1.5,0.002,0.167,0.039
2.0,0.001,0.156,0.039
3.0,0.001,0.147,0.039
4.0,0.0,0.148,0.039
5.0,0.001,0.145,0.039
