eps,acc_base,acc_on_adv,fpr
1.0,0.015,0.3,0.0
1.5,0.002,0.238,0.0
2.0,0.001,0.193,0.0
3.0,0.001,0.134,0.0
4.0,0.0,0.105,0.0
5.0,0.001,0.106,0.0
