eps,acc_base,acc_on_adv,fpr
1.0,0.772,1.0,0.054
1.5,0.406,1.0,0.054
2.0,0.196,1.0,0.054
3.0,0.137,1.0,0.054
4.0,0.134,1.0,0.054
5.0,0.118,1.0,0.054
