,data,model,attack,adv_param,acc_no_def,acc_on_adv,fpr
0,breastcancer,svm,fgsm,0.05,0.7789473684210526,0.7578947368421053,0.0
1,breastcancer,svm,fgsm,0.1,0.37894736842105264,0.37894736842105264,0.0
2,breastcancer,svm,fgsm,0.2,0.021052631578947368,0.021052631578947368,0.0
3,breastcancer,svm,fgsm,0.4,0.0,0.0,0.0
4,breastcancer,svm,fgsm,0.6,0.0,0.0,0.0
5,breastcancer,svm,fgsm,0.8,0.0,0.0,0.0
6,breastcancer,svm,fgsm,1.0,0.0,0.0,0.0
7,breastcancer,svm,fgsm,1.2,0.0,0.0,0.0
8,breastcancer,svm,fgsm,1.4,0.0,0.0,0.0
