eps,acc_base,acc_on_adv,fpr
1.0,0.011,0.357,0.0
1.5,0.0,0.283,0.0
2.0,0.0,0.228,0.0
3.0,0.0,0.156,0.0
4.0,0.0,0.132,0.0
5.0,0.0,0.128,0.0
