eps,acc_base,acc_on_adv,fpr
1.0,0.011,1.0,0.053
1.5,0.0,0.182,0.053
2.0,0.0,0.173,0.053
3.0,0.0,0.168,0.053
4.0,0.0,0.17,0.053
5.0,0.0,0.161,0.053
