,data,model,attack,adv_param,acc_no_def,acc_on_adv,fpr
0,banknote,svm,bim,0.05,0.8418367346938775,0.8316326530612245,0.02040816326530612
1,banknote,svm,bim,0.1,0.1326530612244898,0.15816326530612246,0.02040816326530612
2,banknote,svm,bim,0.2,0.01020408163265306,0.02040816326530612,0.02040816326530612
3,banknote,svm,bim,0.4,0.0,0.0,0.02040816326530612
4,banknote,svm,bim,0.6,0.0,0.0,0.015306122448979591
5,banknote,svm,bim,0.8,0.0,0.0,0.015306122448979591
6,banknote,svm,bim,1.0,0.0,0.0,0.025510204081632654
7,banknote,svm,bim,1.2,0.0,0.0,0.02040816326530612
8,banknote,svm,bim,1.4,0.0,0.0,0.015306122448979591
