,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.05,78.57142857142857,baard_2stage,6.122448979591836,35.714285714285715
1,apgd,0.05,78.57142857142857,baard_3stage,8.16326530612245,38.775510204081634
2,apgd,0.05,78.57142857142857,fs,48.97959183673469,43.87755102040816
3,apgd,0.05,78.57142857142857,lid,1.530612244897959,27.040816326530614
4,apgd,0.05,78.57142857142857,rc,0.0,79.59183673469387
5,apgd,0.2,0.5102040816326531,baard_2stage,6.122448979591836,99.48979591836735
6,apgd,0.2,0.5102040816326531,baard_3stage,8.16326530612245,99.48979591836735
7,apgd,0.2,0.5102040816326531,fs,51.53061224489795,51.02040816326531
8,apgd,0.2,0.5102040816326531,lid,1.0204081632653061,71.93877551020408
9,apgd,0.2,0.5102040816326531,rc,0.0,1.0204081632653061
10,apgd,0.4,0.0,baard_2stage,2.5510204081632653,100.0
11,apgd,0.4,0.0,baard_3stage,4.591836734693878,100.0
12,apgd,0.4,0.0,fs,0.0,39.285714285714285
13,apgd,0.4,0.0,lid,0.0,98.9795918367347
14,apgd,0.4,0.0,rc,0.5102040816326531,0.0
15,apgd,1.0,0.0,baard_2stage,2.5510204081632653,100.0
16,apgd,1.0,0.0,baard_3stage,4.591836734693878,100.0
17,apgd,1.0,0.0,fs,0.0,40.816326530612244
18,apgd,1.0,0.0,lid,0.0,93.36734693877551
19,apgd,1.0,0.0,rc,0.5102040816326531,0.0
20,apgd1,0.2,63.775510204081634,baard_2stage,2.5510204081632653,55.10204081632652
21,apgd1,0.2,63.775510204081634,baard_3stage,4.591836734693878,57.14285714285714
22,apgd1,0.2,63.775510204081634,fs,37.244897959183675,37.244897959183675
23,apgd1,0.2,63.775510204081634,lid,5.612244897959184,41.83673469387755
24,apgd1,0.2,63.775510204081634,rc,0.5102040816326531,64.28571428571429
25,apgd1,0.4,5.1020408163265305,baard_2stage,2.5510204081632653,67.85714285714286
26,apgd1,0.4,5.1020408163265305,baard_3stage,4.591836734693878,69.38775510204081
27,apgd1,0.4,5.1020408163265305,fs,0.0,0.0
28,apgd1,0.4,5.1020408163265305,lid,7.653061224489796,20.918367346938776
29,apgd1,0.4,5.1020408163265305,rc,0.0,8.16326530612245
30,apgd1,1.0,0.0,baard_2stage,2.5510204081632653,100.0
31,apgd1,1.0,0.0,baard_3stage,4.591836734693878,100.0
32,apgd1,1.0,0.0,fs,0.0,38.775510204081634
33,apgd1,1.0,0.0,lid,0.0,98.46938775510205
34,apgd1,1.0,0.0,rc,0.5102040816326531,0.0
35,apgd1,2.0,0.0,baard_2stage,2.5510204081632653,100.0
36,apgd1,2.0,0.0,baard_3stage,4.591836734693878,100.0
37,apgd1,2.0,0.0,lid,0.0,100.0
38,apgd1,2.0,0.0,rc,0.0,0.0
39,apgd1,3.0,0.0,baard_2stage,2.5510204081632653,100.0
40,apgd1,3.0,0.0,baard_3stage,4.591836734693878,100.0
41,apgd1,3.0,0.0,lid,0.0,97.95918367346938
42,apgd1,3.0,0.0,rc,0.0,0.0
43,apgd2,0.2,9.183673469387756,baard_2stage,2.5510204081632653,73.46938775510205
44,apgd2,0.2,9.183673469387756,baard_3stage,4.591836734693878,73.9795918367347
45,apgd2,0.2,9.183673469387756,fs,0.0,0.0
46,apgd2,0.2,9.183673469387756,lid,6.63265306122449,36.224489795918366
47,apgd2,0.2,9.183673469387756,rc,0.5102040816326531,10.714285714285714
48,apgd2,0.4,0.0,baard_2stage,2.5510204081632653,97.95918367346938
49,apgd2,0.4,0.0,baard_3stage,4.591836734693878,97.95918367346938
50,apgd2,0.4,0.0,fs,0.0,0.0
51,apgd2,0.4,0.0,lid,1.0204081632653061,91.3265306122449
52,apgd2,0.4,0.0,rc,0.5102040816326531,0.0
53,apgd2,1.0,0.5102040816326531,baard_2stage,2.5510204081632653,100.0
54,apgd2,1.0,0.5102040816326531,baard_3stage,4.591836734693878,100.0
55,apgd2,1.0,0.5102040816326531,fs,0.0,41.3265306122449
56,apgd2,1.0,0.5102040816326531,lid,0.0,100.0
57,apgd2,1.0,0.5102040816326531,rc,0.5102040816326531,0.5102040816326531
58,apgd2,2.0,0.0,baard_2stage,2.5510204081632653,100.0
59,apgd2,2.0,0.0,baard_3stage,4.591836734693878,100.0
60,apgd2,2.0,0.0,lid,0.0,96.93877551020408
61,apgd2,2.0,0.0,rc,0.5102040816326531,0.0
62,apgd2,3.0,0.0,baard_2stage,2.5510204081632653,100.0
63,apgd2,3.0,0.0,baard_3stage,4.591836734693878,100.0
64,apgd2,3.0,0.0,lid,0.0,100.0
65,apgd2,3.0,0.0,rc,0.5102040816326531,0.0
66,boundary,0.3,52.04081632653062,baard_2stage,2.5510204081632653,85.20408163265306
67,boundary,0.3,52.04081632653062,baard_3stage,4.591836734693878,90.3061224489796
68,boundary,0.3,52.04081632653062,fs,33.6734693877551,30.612244897959183
69,boundary,0.3,52.04081632653062,lid,5.612244897959184,52.55102040816326
70,boundary,0.3,52.04081632653062,rc,0.5102040816326531,56.63265306122449
71,cw2,0.0,1.0204081632653061,baard_2stage,2.5510204081632653,86.73469387755102
72,cw2,0.0,1.0204081632653061,baard_3stage,4.591836734693878,95.91836734693877
73,cw2,0.0,1.0204081632653061,fs,47.44897959183674,34.183673469387756
74,cw2,0.0,1.0204081632653061,lid,5.1020408163265305,56.63265306122449
75,cw2,0.0,1.0204081632653061,rc,0.5102040816326531,59.183673469387756
76,cw2,10.0,1.0204081632653061,baard_2stage,2.5510204081632653,91.3265306122449
77,cw2,10.0,1.0204081632653061,baard_3stage,4.591836734693878,91.3265306122449
78,cw2,10.0,1.0204081632653061,fs,46.42857142857143,51.02040816326531
79,cw2,10.0,1.0204081632653061,lid,1.0204081632653061,78.57142857142857
80,cw2,10.0,1.0204081632653061,rc,0.5102040816326531,1.0204081632653061
