,Attack,Epsilon,Without Defence,Defence,False Positive Rate,Score
0,apgd,0.05,82.79569892473118,baard_2stage,13.978494623655912,51.61290322580645
1,apgd,0.05,82.79569892473118,baard_3stage,17.20430107526882,53.76344086021505
2,apgd,0.05,82.79569892473118,fs,59.13978494623656,53.76344086021505
3,apgd,0.05,82.79569892473118,lid,0.0,0.0
4,apgd,0.05,82.79569892473118,rc,1.0752688172043012,82.79569892473118
5,apgd,0.2,5.376344086021505,baard_2stage,13.978494623655912,97.84946236559139
6,apgd,0.2,5.376344086021505,baard_3stage,17.20430107526882,97.84946236559139
7,apgd,0.2,5.376344086021505,fs,68.81720430107528,64.51612903225806
8,apgd,0.2,5.376344086021505,lid,3.225806451612903,19.35483870967742
9,apgd,0.2,5.376344086021505,rc,0.0,5.376344086021505
10,apgd,0.4,0.0,baard_2stage,13.978494623655912,100.0
11,apgd,0.4,0.0,baard_3stage,17.20430107526882,100.0
12,apgd,0.4,0.0,fs,38.70967741935484,26.881720430107524
13,apgd,0.4,0.0,lid,1.0752688172043012,47.31182795698925
14,apgd,0.4,0.0,rc,0.0,0.0
15,apgd,1.0,0.0,baard_2stage,13.978494623655912,100.0
16,apgd,1.0,0.0,baard_3stage,17.20430107526882,100.0
17,apgd,1.0,0.0,fs,0.0,66.66666666666666
18,apgd,1.0,0.0,lid,0.0,33.33333333333333
19,apgd,1.0,0.0,rc,0.0,0.0
20,apgd1,0.2,93.54838709677419,baard_2stage,13.978494623655912,15.053763440860216
21,apgd1,0.2,93.54838709677419,baard_3stage,17.20430107526882,16.129032258064516
22,apgd1,0.2,93.54838709677419,fs,59.13978494623656,51.61290322580645
23,apgd1,0.2,93.54838709677419,lid,0.0,0.0
24,apgd1,0.2,93.54838709677419,rc,1.0752688172043012,93.54838709677419
25,apgd1,0.4,91.39784946236558,baard_2stage,13.978494623655912,12.903225806451612
26,apgd1,0.4,91.39784946236558,baard_3stage,17.20430107526882,16.129032258064516
27,apgd1,0.4,91.39784946236558,fs,27.956989247311824,31.182795698924732
28,apgd1,0.4,91.39784946236558,lid,0.0,0.0
