,data,model,attack,adv_param,acc_no_def,acc_on_adv,fpr
0,breastcancer,svm,bim,0.05,0.7525773195876289,0.7731958762886598,0.010309278350515464
1,breastcancer,svm,bim,0.1,0.35051546391752575,0.41237113402061853,0.010309278350515464
2,breastcancer,svm,bim,0.2,0.020618556701030927,0.020618556701030927,0.0
3,breastcancer,svm,bim,0.4,0.0,0.0,0.0
4,breastcancer,svm,bim,0.6,0.0,0.0,0.010309278350515464
5,breastcancer,svm,bim,0.8,0.0,0.0,0.010309278350515464
6,breastcancer,svm,bim,1.0,0.0,0.0,0.010309278350515464
7,breastcancer,svm,bim,1.2,0.0,0.0,0.010309278350515464
8,breastcancer,svm,bim,1.4,0.0,0.0,0.0
