eps,acc_base,acc_on_adv,fpr
0.031,0.0,1.0,0.052
0.1,0.0,0.172,0.052
0.3,0.0,0.39,0.052
0.6,0.0,0.994,0.052
1.0,0.0,1.0,0.052
1.5,0.0,1.0,0.052
2.0,0.0,1.0,0.052
