eps,acc_base,acc_on_adv,fpr
0.063,0.851,1.0,0.0
0.1,0.461,1.0,0.0
0.3,0.0,1.0,0.0
0.6,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.5,0.0,1.0,0.0
2.0,0.0,1.0,0.0
