eps,acc_base,acc_on_adv,fpr
0.031,0.569,0.606,0.003
0.1,0.302,0.373,0.003
0.2,0.134,0.205,0.003
0.3,0.12,0.994,0.003
0.6,0.093,1.0,0.003
1.0,0.082,1.0,0.003
1.5,0.082,1.0,0.003
2.0,0.082,1.0,0.003
