eps,acc_base,acc_on_adv,fpr
0.063,0.852,0.995,0.0
0.1,0.607,1.0,0.0
0.2,0.201,1.0,0.0
0.3,0.093,1.0,0.0
0.6,0.017,1.0,0.0
1.0,0.012,1.0,0.0
1.5,0.012,1.0,0.0
2.0,0.012,1.0,0.0
