eps,acc_base,acc_on_adv,fpr
0.063,0.817,1.0,0.062
0.3,0.0,1.0,0.062
0.6,0.0,1.0,0.062
1.0,0.0,1.0,0.062
1.5,0.0,1.0,0.062
