eps,acc_base,acc_on_adv,fpr
0.031,0.569,1.0,0.031
0.1,0.302,0.626,0.031
0.2,0.134,0.59,0.031
0.3,0.12,0.981,0.031
0.6,0.093,1.0,0.031
1.0,0.082,1.0,0.031
1.5,0.082,1.0,0.031
2.0,0.082,1.0,0.031
