eps,acc_base,acc_on_adv,fpr
1.0,0.755,0.981,0.0
1.5,0.374,0.979,0.0
2.0,0.146,0.983,0.0
3.0,0.035,0.993,0.0
4.0,0.009,0.996,0.0
5.0,0.001,1.0,0.0
