eps,acc_base,acc_on_adv,fpr
1.0,0.724,0.929,0.0
1.5,0.376,0.805,0.0
2.0,0.155,0.585,0.0
3.0,0.048,0.587,0.0
4.0,0.025,0.769,0.0
5.0,0.012,0.826,0.0
