eps,acc_base,acc_on_adv,fpr
1.0,0.011,0.387,0.003
1.5,0.001,0.306,0.003
2.0,0.001,0.258,0.003
3.0,0.0,0.17,0.003
4.0,0.0,0.177,0.003
5.0,0.0,0.153,0.003
