eps,acc_base,acc_on_adv,fpr
1.0,0.757,1.0,0.046
1.5,0.401,1.0,0.046
2.0,0.207,1.0,0.046
3.0,0.153,1.0,0.046
4.0,0.147,1.0,0.046
5.0,0.121,1.0,0.046
